H01-1001.1,Oral communication
C88-2162.8,linguistic representation
C88-2162.9,Dynamic Hierarchical Phrasal Lexicon (DHPL) 
C88-2162.10,language acquisition
C88-2162.11,language learning model 
C88-2162.12,RINA
C88-2162.13,lexical hierarchy 
C88-2162.14, linguistic concepts 
C88-2162.15,training examples
C88-2162.16,hierarchy 
C88-2162.17,lexical hierarchy 
C88-2162.18,linguistic concepts
C88-2162.19,program 
C88-2162.20,lexical unknown
C88-2162.21,hypothesis 
C88-2162.22,lexical gap
C88-2166.1,natural language system
C88-2166.2, computational lexicon 
C88-2166.3, lexicon 
C88-2166.4, COMPLEX 
C88-2166.5,computational lexicon
C88-2166.6,shared lexical information 
C88-2166.7,Natural Language Processing (NLP) systems
C88-2166.8,machine-readable dictionaries (MRD's) 
C88-2166.9,broad coverage lexicon
J88-3002.1,intelligent interactive systems
J88-3002.2,humans 
J88-3002.3,system users
J88-3002.4,user modeling
J88-3002.5,systems 
J88-3002.6,user model
J88-3002.7,user model
J88-3002.8,user
J88-3002.9,User models 
J88-3002.10,user model 
J88-3002.11,user modeling
J88-3002.12,user modeling component 
J88-3002.13,interaction requirements 
J88-3002.14, user modeling 
J88-3002.15,user modeling systems 
C90-1013.1,bidirectional grammar generation system
C90-1013.2,feature structure-directed generation 
C90-1013.3,dialogue translation system
C90-1013.4,typed feature structures 
C90-1013.5,top-down derivation
C90-1013.6,generation system 
C90-1013.7,disjunctive feature structures
C90-1013.8,derivation tree
C90-1013.9,grammar 
C90-1013.10,generator
C90-1013.11,speaker's intention 
C90-1013.12,telephone dialogue
C90-2032.1,document oriented preference sets(DoPS)
C90-2032.2,dependency structure
C90-2032.3, sentences 
C90-2032.4,DoPS system
C90-2032.5,target document 
C90-2032.6,documents
C90-2032.7,Sentence ambiguities 
C90-2032.8,knowledgebases 
C90-2032.9,Implementation
C90-2032.10,empirical results 
C90-2032.11,dependency structures
C90-2032.12,Japanese patent claim sentences 
C90-3014.1,Korean phonological knowledge base system 
C90-3014.2,unification-based grammar formalism
C90-3014.3,Korean Phonology Structure Grammar (KPSG) 
C90-3014.4,KPSG
C90-3014.5,phonological system
C90-3014.6, speech recognition 
C90-3014.7,synthesis system
C90-3014.8,generative phonological approach 
C90-3045.1,tree-adjoining grammars (TAG)
C90-3045.2,TAGs
C90-3045.3,syntax 
C90-3045.4,semantic interpretation
C90-3045.5,automatic translation of natural language 
C90-3045.6,TAGs
C90-3045.7, synchronous TAGs 
C90-3045.8,languages
C90-3045.9,expressions of natural languages
C90-3045.10,semantics
C90-3045.11, logical form language 
C90-3045.12,translates
C90-3045.13,natural language 
C90-3045.14,TAGs
C90-3045.15,syntax proper
C90-3045.16,synchronous TAGs 
C90-3046.1,sentence analysis
C90-3046.2,defeasible reasoning 
C90-3046.3,Japanese sentence analyses
C90-3046.4,argumentation system
C90-3046.5, formalization 
C90-3046.6,defeasible reasoning
C90-3046.7, arguments 
C90-3046.8,defeat rules
C90-3046.9,defeasibility 
C90-3072.1,Spelling-checkers
C90-3072.2,text processing software
C90-3072.3,dictionaries of word forms 
C90-3072.4,words
C90-3072.5,inflection
C90-3072.6,English
C90-3072.7,highly inflective languages
C90-3072.8, Czech 
C90-3072.9,Russian
C90-3072.10,Slovak
C90-3072.11,Slavonic languages 
C90-3072.12,inflection
C90-3072.13,spelling-checkers
C90-3072.14, spelling-checkers 
C90-3072.15,English
C90-3072.16,dictionary 
C90-3072.17,360K floppy
C90-3072.18,word forms
C90-3072.19, Czech 
C90-3072.20,word classification 
H90-1016.1,integrated Spoken Language System 
H90-1016.2,N-Best sentence hypotheses 
H90-1016.3,grammar coverage problems
H90-1016.4,fully-connected first-order statistical class grammar 
H90-1016.5,speech-search algorithm
H90-1016.6,board 
H90-1016.7,Intel i860 chip
H90-1016.8,SUN 4
H90-1016.9,straight C code
H90-1016.10,board 
H90-1016.11,VME bus
H90-1016.12, SUN4 
H90-1016.13,natural language system
H90-1016.14,application back end 
H90-1060.1,large vocabulary continuous speech recognition 
H90-1060.2,speaker-independent (SI) training 
H90-1060.3,hidden Markov models (HMM)
H90-1060.4,speech 
H90-1060.5,speakers
H90-1060.6,speech
H90-1060.7,speakers
H90-1060.8,training speakers
H90-1060.9,statistics 
H90-1060.10,independently trained models
H90-1060.11,speech data
H90-1060.12,speakers
H90-1060.13,training
H90-1060.14,training speakers 
H90-1060.15,SI recognition
H90-1060.16, word error rate 
H90-1060.17,grammar
H90-1060.18,test set
H90-1060.19,DARPA Resource Management corpus
H90-1060.20, performance 
H90-1060.21,training speakers 
H90-1060.22,speaker adaptation (SA) 
H90-1060.23,SI corpus
H90-1060.24,speech 
H90-1060.25,speaker
H90-1060.26, probabilistic spectral mapping 
H90-1060.27,training (reference) speaker
H90-1060.28,target speaker
H90-1060.29,reference model 
H90-1060.30,space
H90-1060.31,target speaker 
H90-1060.32,averaging
H90-1060.33, utterances 
H90-1060.34,target speaker
H90-1060.35,adaptation 
H90-1060.36,error rate
H90-1060.37,SI
J90-3002.1,editor
J90-3002.2,dictionary 
J90-3002.3,editor
J90-3002.4,lexicologists
J90-3002.5,dictionary 
J90-3002.6,linguistic theory
J90-3002.7,lexicons 
J90-3002.8,grammars
J90-3002.9,natural language processing 
J90-3002.10,linguistic databases 
J90-3002.11,editor
J90-3002.12,coherence rules
J90-3002.13,lexical entries
J90-3002.14, interface 
P90-1014.1,free indexation
P90-1014.2,referential properties of noun phrases
P90-1014.3,principle-and-parameters language framework 
P90-1014.4,free indexation
P90-1014.5,indexings
P90-1014.6,exponential time 
P90-1014.7,free indexation algorithm
A92-1026.1,natural language processing
A92-1026.2,TACITUS
A92-1026.3,MUC-3 evaluation 
A92-1026.4,syntactic and pragmatic analysis 
A92-1026.5,syntactic analysis 
A92-1026.6,agenda-based scheduling parser
A92-1026.7,recovery technique for failed parses 
A92-1026.8,terminal substring parsing
A92-1026.9,pragmatics processing 
A92-1026.10,abductive inference
A92-1026.11,world knowledge 
A92-1027.1,chart-based phrase structure parsing
A92-1027.2,natural language 
A92-1027.3, unrestricted texts 
A92-1027.4,words
A92-1027.5,text 
A92-1027.6,parser
A92-1027.7,reduction
A92-1027.8,search space
A92-1027.9,edge
A92-1027.10,chart
A92-1027.11,edges
A92-1027.12,edges
A92-1027.13,spanning edges 
A92-1027.14,edges 
A92-1027.15,constituent
A92-1027.16,span
A92-1027.17,phrase boundary heuristics 
A92-1027.18,function words
A92-1027.19,heuristic rules 
A92-1027.20,phrases
A92-1027.21,unknown words
A92-1027.22,reduction in the search space 
A92-1027.23,semantic
A92-1027.24, syntactic categories 
A92-1027.25,terminal and non-terminal edges
A92-1027.26,ambiguity
A92-1027.27,edges 
A92-1027.28,edges
A92-1027.29,semantic 
C92-1052.1,discourse segments
C92-1052.2,discourse segmentation 
C92-1052.3,abduction
C92-1052.4,temporal relations 
C92-1052.5,segments
C92-1052.6,computationally feasible 
C92-1052.7,temporal anaphora resolution 
C92-1055.1,adaptive learning procedure 
C92-1055.2,syntactic ambiguity resolution
C92-1055.3,insufficient training data
C92-1055.4,approximation error 
C92-1055.5,language model
C92-1055.6,statistical approaches 
C92-1055.7,ambiguities
C92-1055.8,maximum likelihood method 
C92-1055.9,performance
C92-1055.10,accuracy rate 
C92-1055.11,training corpus 
C92-1055.12, separation margin 
C92-1055.13,accuracy rate
C92-1055.14,syntactic disambiguation 
C92-2068.1,Graph unification
C92-2068.2,unification-based grammar parsing
C92-2068.3,unification algorithms
C92-2068.4,copying
C92-2068.5,unmodified subgraphs 
C92-2068.6, structure-sharing 
C92-2068.7,log(d) overheads
C92-2068.8,structure-sharing of graphs 
C92-2068.9,dependency pointers
C92-2068.10,redundant copying
C92-2068.11,quasi-destructive scheme's ability 
C92-2068.12,over copying
C92-2068.13,early copying 
C92-2068.14,cyclic structures
C92-2115.1,transfer phase
C92-2115.2,machine translation (MT) systems 
C92-2115.3,analysis
C92-2115.4,generation 
C92-2115.5,lexical rules
C92-2115.6,case-based reasoning
C92-2115.7,machine translation 
C92-2115.8,translation examples
C92-2115.9,MT
C92-2115.10,transfer system 
C92-2115.11,Similarity-driven Transfer System (SimTran)
C92-2115.12,case-based MT (CBMT)
C92-3165.1,interactive method for speech understanding
C92-3165.2,generalized LR parsing
C92-3165.3,Parsing 
C92-3165.4, portion 
C92-3165.5,parser
C92-3165.6,portion 
C92-3165.7,non-terminal symbol
C92-3165.8,portion 
C92-3165.9,re-utterance
C92-3165.10, portion 
C92-3165.11,parse record
C92-3165.12,utterance
C92-3165.13,user
C92-3165.14,sentence
C92-3165.15,unknown words 
C92-3165.16,unknown words
C92-3165.17,dictionary
C92-3165.18,user
C92-3165.19,pilot system
C92-4199.1,Word Identification
C92-4199.2,Chinese Natural Language Processing 
C92-4199.3,sublanguage
C92-4199.4,unknown words
C92-4199.5,personal names 
C92-4199.6,Chinese newspapers
C92-4199.7,title-driven name recognition 
C92-4199.8,adaptive dynamic word formation
C92-4199.9, identification of 2-character and 3-character Chinese names without title 
C92-4199.10,corpora
C92-4199.11,NTHU's statistic-based system
C92-4199.12,WI systems
C92-4199.13,name identification 
C92-4207.1,spatial descriptions
C92-4207.2,Japanese 
C92-4207.3,world
C92-4207.4,computer program
C92-4207.5,SPRINT
C92-4207.6,natural language texts 
C92-4207.7,model
C92-4207.8,world 
C92-4207.9,model
C92-4207.10,qualitative spatial constraints 
C92-4207.11,text
C92-4207.12, numerical constraints 
C92-4207.13,spatial attributes
C92-4207.14,entities 
C92-4207.15,spatial concepts 
C92-4207.16,temporary belief
C92-4207.17,world 
H92-1003.1,spoken language corpus
H92-1003.2,ATIS (Air Travel Information System) domain 
H92-1003.3,MADCOW (Multi-site ATIS Data COllection Working group) 
H92-1003.4,multi-site data collection paradigm 
H92-1003.5,MADCOW
H92-1003.6,collection 
H92-1003.7,utterances
H92-1003.8, spontaneous speech 
H92-1003.9,multi-site common evaluation of speech, natural language and spoken language 
H92-1010.1,LIMSI
H92-1010.2,speech processing
H92-1010.3,Human-Machine Communication 
H92-1010.4,Natural Language Processing
H92-1010.5,Non Verbal and Multimodal Communication 
H92-1016.1,MIT ATIS system
H92-1016.2,SUMMIT recognizer
H92-1016.3,context-dependent phonetic modelling
H92-1016.4,bigram language model 
H92-1016.5,probabilistic LR parser
H92-1016.6,lexicon
H92-1016.7, training set 
H92-1016.8,speech recognition word and sentence error rates 
H92-1016.9,October '91 test set
H92-1016.10,spoken language system
H92-1016.11,test set 
H92-1016.12,February '92 benchmark evaluation 
H92-1017.1,domain-independent capabilities
H92-1017.2,Paramax spoken language understanding system
H92-1017.3,non-monotonic reasoning 
H92-1017.4,implicit reference resolution
H92-1017.5, database query paraphrase 
H92-1017.6,February 1992 ATIS benchmark tests 
H92-1017.7,standard evaluation metric
H92-1017.8,n-best speech/language integration architecture
H92-1017.9,OCR
H92-1017.10,accuracy
H92-1026.1,generative probabilistic model of natural language
H92-1026.2,HBG
H92-1026.3, linguistic information 
H92-1026.4,ambiguity
H92-1026.5,HBG
H92-1026.6,lexical, syntactic, semantic, and structural information 
H92-1026.7,parse tree
H92-1026.8,disambiguation process 
H92-1026.9,corpus of bracketed sentences
H92-1026.10,Treebank 
H92-1026.11,decision tree building
H92-1026.12,parse tree
H92-1026.13,parse 
H92-1026.14,sentence
H92-1026.15,grammar
H92-1026.16, linguistic introspection 
H92-1026.17,parse
H92-1026.18,head-to-head tests 
H92-1026.19,probabilistic parsing models
H92-1026.20,P-CFG
H92-1026.21,HBG model
H92-1026.22,P-CFG
H92-1026.23,parsing accuracy 
H92-1036.1,maximum a posteriori estimation
H92-1036.2, continuous density hidden Markov models (CDHMM) 
H92-1036.3,MLE reestimation algorithms
H92-1036.4,forward-backward algorithm 
H92-1036.5,segmental k-means algorithm
H92-1036.6,reestimation formulas 
H92-1036.7,HMM with Gaussian mixture observation densities
H92-1036.8,Bayesian learning
H92-1036.9,speech recognition
H92-1036.10,parameter smoothing 
H92-1036.11,speaker adaptation
H92-1036.12,speaker group modeling 
H92-1036.13,corrective training
H92-1036.14,MAP estimation approach 
H92-1045.1,polysemous words
H92-1045.2,sentence 
H92-1045.3,meaning
H92-1045.4,sense
H92-1045.5,word-sense disambiguation systems 
H92-1045.6,bilingual material
H92-1045.7, Canadian Hansards 
H92-1045.8,monolingual material
H92-1045.9,Roget's Thesaurus 
H92-1045.10,Grolier's Encyclopedia
H92-1045.11,discourse
H92-1045.12,polysemous word 
H92-1045.13,sentence
H92-1045.14,well-written discourse 
H92-1045.15,sense
H92-1045.16,sense 
H92-1045.17,discourse
H92-1045.18,constraint
H92-1045.19,word-sense disambiguation algorithm
H92-1045.20,disambiguation algorithms
H92-1045.21,discourse constraint
P06-1112.1,dependency relation paths
P06-1112.2,answer extraction
P06-1112.3, correlation measure
P06-1112.4,dependency relations
P06-1112.5,question phrases
P06-1112.6, sentence 
P06-1112.7,relations
P06-1112.8,approximate phrase mapping algorithm
P06-1112.9,mapping score
P06-1112.10,correlation measure
P06-1112.11,Maximum Entropy-based ranking model 
P06-1112.12,path weights
P06-1112.13,syntactic relation-based methods 
P06-1112.14,MRR
C90-3063.1,Manual acquisition
C90-3063.2,semantic constraints
C90-3063.3,cooccurrence patterns 
C90-3063.4,corpus
C90-3063.5,semantic constraints 
C90-3063.6,anaphora references
C90-3063.7,syntactic ambiguities
C90-3063.8, references 
C90-3063.9,pronoun "it"
C90-3063.10,sentences
C90-3063.11,corpus
C90-3063.12,cooccurrence statistics
C90-3063.13,semantic constraints 
C90-3063.14,disambiguation tool
C04-1011.1,Kullback-Leibler distance
C04-1011.2,relative entropy
C04-1011.3, probabilistic context-free grammar 
C04-1011.4,probabilistic finite automaton
C04-1011.5,closed-form (analytical) solution 
C04-1011.6,Kullback-Leibler distance
C04-1011.7,cross-entropy
C04-1011.8,distributional approximation 
C04-1011.9,probabilistic context-free grammars
C04-1011.10,probabilistic finite automata
A94-1037.1,spelling correction
A94-1037.2, languages 
A94-1037.3,English
A94-1037.4,agglutinative languages
A94-1037.5,spelling correction
A94-1037.6,agglutinative languages 
A94-1037.7,two-level morphology
A94-1037.8, dynamic-programming based search algorithm
A94-1037.9,spelling correction
A94-1037.10, Turkish
H94-1102.1,continuous speech recognition (CSR) techniques 
H94-1102.2,Spoken Language Systems (SLS)
H94-1102.3,military and civilian computer-based systems
H94-1102.4,speech recognition and understanding systems
H94-1102.5,spoken language technology 
H94-1102.6,military and civilian systems
H94-1102.7,CSR
H94-1102.8,mobile military command and control
H94-1102.9, acoustic modelling
H94-1102.10,recognition-time adaptation techniques 
H94-1102.11,large-vocabulary CSR
H94-1102.12,ARPA large-vocabulary CSR corpora
P98-1118.1,Presentor
P98-1118.2,hypertext presentation generators
P98-1118.3,Presentor 
P98-1118.4,declarative languages
P98-1118.5,Presentor 
P98-1118.6,object modeling
P98-1118.7,requirements summarization
A92-1023.1,speech recognition (SR) 
A92-1023.2,natural language (NL) interfaces 
A92-1023.3,speech understanding (SU)
A92-1023.4,DARPA Spoken Language Systems (SLS) program
A92-1023.5,SLS systems
A92-1023.6,SLS systems
A92-1023.7,NL evaluations
A92-1023.8,Message Understanding Conferences
A92-1023.9,"black-box" methodology
A92-1023.10,question-answering NL systems
A92-1023.11,speech or text input
A92-1023.12,DARPA SLS community
P06-1053.1,psycholinguistic literature
P06-1053.2,syntactic priming
P06-1053.3,priming
P06-1053.4,incremental probabilistic parser
P06-1053.5,priming 
P06-1053.6,rules
P06-1053.7,sentences
P06-1053.8,sentences
P06-1053.9,coordinate structures
P06-1053.10,parallel structures 
P06-1053.11,human data
P06-1053.12,parsing accuracy
P06-1012.1,word
P06-1012.2,domains 
P06-1012.3,sense priors
P06-1012.4,senses 
P06-1012.5,word
P06-1012.6,word sense disambiguation (WSD) systems 
P06-1012.7,domains
P06-1012.8,sense priors
P06-1012.9,words 
P06-1012.10,domain
P06-1012.11,well calibrated probabilities 
P06-1012.12,estimations
P06-1012.13,well calibrated probabilities
P06-1012.14,sense priors 
P06-1012.15,WSD accuracy
C86-1105.1,hierarchical relations
C86-1105.2, superordinate -hyponym relation
C86-1105.3,synonym relation
C86-1105.4,thesaurus construction
C86-1105.5,relations
C86-1105.6,Japanese language dictionary 
C86-1105.7,definition sentences
C86-1105.8,dictionary
C86-1105.9,hierarchical relations
C86-1021.1,interlingual approach to MT
C86-1021.2,natural language understanding
C86-1021.3,machine translation
C86-1021.4,ambiguity
C86-1021.5, natural language 
C86-1021.6,Mu-project
C86-1021.7,transfer approach
C86-1021.8,MT
C86-1021.9,transfer phase
C86-1021.10, Japanese 
C86-1021.11,English
C86-1021.12,interlingual approach
C86-1021.13,transfer phase 
C86-1021.14,Multiple Layer of Grammars
C86-1021.15,Multiple Layer Presentation 
C86-1021.16,Lexicon Driven Processing
C86-1021.17, Form-Oriented Dictionary Description
C04-1058.1,classifiers 
C04-1058.2,maximum entropy classifiers
C04-1058.3, boosting 
C04-1058.4,SVMs
C04-1058.5,language processing tasks
C04-1058.6,error correction mechanisms 
C04-1058.7,unseen data
C04-1058.8,test set
C04-1058.9,base classifier
C04-1058.10,N-fold Templated Piped Correction, or NTPC ("nitpick")
C04-1058.11,error corrector
C04-1058.12,base models
C04-1058.13,NTPC
C04-1058.14,Occam's Razor argument
N06-1007.1,automatic acquisition
N06-1007.2,entailment relations 
N06-1007.3,verbs
N06-1007.4,paraphrases acquisition 
N06-1007.5,semantic equivalence
N06-1007.6,verbs
N06-1007.7,entailment acquisition 
N06-1007.8,asymmetric, or directional, relations
N06-1007.9,local structure
N06-1007.10,coherent text
N06-1007.11, verb entailment 
N06-1007.12,discourse relations
N06-1007.13,clauses 
N06-1007.14,parsed corpus
N06-1007.15,verb entailment types
N06-1007.16,mapping
N06-1007.17,verbs
N06-1007.18,argument structures
A00-2023.1,statistical sentence generation
A00-2023.2,phrases
A00-2023.3,trees
A00-2023.4,forests
A00-2023.5,syntactic information
A00-2023.6,statistical ranking
A00-2023.7,statistical generation
A00-2023.8,ranking algorithm 
A00-2023.9,lattice-based approach
X98-1022.1,Automatic summarization
X98-1022.2,information extraction
X98-1022.3,MUC 
X98-1022.4,SUMMAC
X98-1022.5,automatic summarization
X98-1022.6,sentences
X98-1022.7, summary generation 
X98-1022.8,SUMMAC-1
X98-1022.9, categorization task
X98-1022.10,positive feature vectors
X98-1022.11,negative feature vectors 
X98-1022.12,summaries
X98-1022.13,text model
X98-1022.14,nouns 
X98-1022.15,verbs
X98-1022.16, discourse segment
X98-1022.17,sentences
X98-1022.18,user-directed summaries
X98-1022.19,NormF 
X98-1022.20,NormF 
X98-1022.21,categorization task 
X98-1022.22, categorization task 
P98-2213.1,directed graph
P98-2213.2,word vectors
P98-2213.3,similarity 
P98-2213.4,vectors
P98-2213.5, graph 
P98-2213.6,similarity matrix
P98-2213.7,constraints 
P98-2213.8,threading algorithm 
P98-2213.9,0(n) time
P98-2213.10,graph
P98-2213.11,words 
P98-2213.12,topics
P98-2213.13, threads
P98-2213.14,words
P98-2213.15, information 
P98-2213.16,threading technique
P98-2213.17,threading server
P98-2213.18,threading information
P98-2213.19,eXtended Markup Language (XML)
P98-2213.20,XML-based representation 
P98-1113.1,Natural Language parsing
P98-1113.2,example-based approach
P98-1113.3,representation structure
P98-1113.4,input sentence
P98-1113.5,Structured String Tree Correspondence (SSTC) annotation schema 
P98-1113.6,SSTC
P98-1113.7,sentence
P98-1113.8,representation tree
P98-1113.9,substrings 
P98-1113.10,sentence
P98-1113.11,subtrees
P98-1113.12,representation tree
P98-1113.13, parsing
P98-1113.14,subtrees
P98-1113.15,phrases 
P98-1113.16,input sentence
P98-1113.17,example-base 
P98-1113.18,subtrees
P98-1113.19,single rooted representation tree
P98-1113.20,representation structure
P02-1060.1,Hidden Markov Model (HMM)
P02-1060.2,HMM-based chunk tagger
P02-1060.3,named entity (NE) recognition (NER) system 
P02-1060.4,names
P02-1060.5, times and numerical quantities
P02-1060.6,HMM
P02-1060.7,words
P02-1060.8,capitalization 
P02-1060.9,internal semantic feature
P02-1060.10,internal gazetteer feature
P02-1060.11, external macro context feature
P02-1060.12,NER problem
P02-1060.13,system
P02-1060.14,MUC-6 and MUC-7 English NE tasks 
P02-1060.15,F-measures
P02-1060.16,machine-learning system
P02-1060.17,performance
P02-1060.18,handcrafted rules
C96-2213.1,Natural Language Processing (NLP) system
C96-2213.2,new domain 
C96-2213.3,syntactic parsing
C96-2213.4,lexicon
C96-2213.5,existing grammar 
C96-2213.6,new sublanguage
C96-2213.7,lexicalized grammar
C96-2213.8, domain 
C96-2213.9,hybrid system
C96-2213.10,traditional knowledge-based techniques
C96-2213.11,corpus-based approach
C04-1102.1,detection method
C04-1102.2,transliteration 
C04-1102.3,corpus
C04-1102.4, similarities
C04-1102.5,string similarity
C04-1102.6,edit distance
C04-1102.7,contextual similarity 
C04-1102.8,vector space model
C04-1102.9,F-measure
N06-1018.1,natural language applications
N06-1018.2,temporal expressions 
N06-1018.3,newswire texts
N06-1018.4,temporal expressions 
N06-1018.5,genre
N06-1018.6,expressions 
N06-1018.7,constraint-based representation
N06-1018.8,Time Calculus for Natural Language (TCNL)
N06-1018.9,Temporal Expression Anchoror (TEA)
N06-1018.10,baseline
H89-2066.1,spoken language system
H89-2066.2,voice input
H89-2066.3, interactive problem solving
H89-2066.4,continuous speech
H89-2066.5,multiple speakers
H89-2066.6,explicit speaker enrollment
H89-2066.7,speech recognition 
H89-2066.8,natural language processing
H89-2066.9, speech understanding
H89-2066.10,application domain 
H89-2066.11,robust and high-performance speech recognition system 
H89-2066.12,segment-based approach
H89-2066.13,phonetic recognition
H89-2066.14,recognition system
H89-2066.15,natural language processing
H89-2066.16, spoken language understanding
J81-1002.1,creating natural language text
J81-1002.2,processing paradigm
J81-1002.3, Fragment-and-Compose 
J81-1002.4,knowledge 
J81-1002.5,text
J81-1002.6,propositional units
J81-1002.7,text
J81-1002.8,KDS (Knowledge Delivery System)
J81-1002.9,propositional units
J81-1002.10, text
J81-1002.11,excess redundancy
J81-1002.12, sentences
J81-1002.13,final text
J81-1002.14,Fragment-and-Compose paradigm 
J81-1002.15,computational methods
J81-1002.16,KDS 
C90-1002.1,A deterministic parser
C90-1002.2,traditional deterministic parsers 
C90-1002.3,symbolic and connectionist components
C90-1002.4,patterns
C90-1002.5,rules 
C90-1002.6,deterministic grammar
C90-1002.7,hybrid architecture 
C90-1002.8,parser
C90-1002.9,known deterministic parser
C90-1002.10,training techniques 
C90-1002.11,decision-making
C90-1002.12,connectionist component 
C90-1002.13,parsing process
C90-1002.14,rules
C90-1002.15, deterministic parsers
C90-1002.16,rule packets
C90-1002.17,parsing
C90-1002.18,connectionist (neural) network 
C90-1002.19,linguistic rules
C90-1002.20,expected (grammatical) sentences 
P02-1059.1,supervised learning 
P02-1059.2,unsupervised learning
P02-1059.3,summarization
P02-1059.4, probabilistic decision tree 
P02-1059.5,human created summaries
P02-1059.6,corpus
P02-1059.7,newspaper corpus
P02-1059.8,probabilistic decision trees
P02-1059.9,corpus
P02-1002.1,conditional maximum entropy models
P02-1002.2,Generalized Iterative Scaling
P02-1002.3,maximum entropy problems
C00-2123.1,statistical machine translation (MT) 
C00-2123.2,dynamic programming (DP)
C00-2123.3,word reordering 
C00-2123.4,source and target language
C00-2123.5,Verbmobil task 
C00-2123.6,limited-domain spoken-language task
C96-1055.1,word-sense ambiguity
C96-1055.2,machine-readable resources 
C96-1055.3,large-scale knowledge sources
C96-1055.4,word-sense distinctions
C96-1055.5,semantic classification
C96-1055.6, verbs 
C96-1055.7,word-sense distinctions
C96-1055.8,verb semantics
C96-1055.9,syntactic behavior 
C96-1055.10,semantic information 
C96-1055.11,syntactic cues
C96-1055.12, syntactic cues 
C96-1055.13,word senses
C96-1055.14, word senses 
M91-1029.1,PRC Adaptive Knowledge-based Text Understanding System (PAKTUS)
M91-1029.2,core English lexicon
M91-1029.3,grammar
M91-1029.4, natural language processing (NLP) systems 
M91-1029.5,text understanding
M91-1029.6, PAKTUS 
M91-1029.7,NLP system 
M91-1029.8,electronic message stream
M91-1029.9,PAKTUS
M91-1029.10,JINTACCS messages
M91-1029.11,RAINFORM messages
M91-1029.12,news reports
M91-1029.13,sublanguage and domain-specific grammar
M91-1029.14,words, conceptual mappings
M91-1029.15,discourse patterns
P98-1088.1,linear logic
P98-1088.2,computational linguistics
P98-1088.3, "glue language" 
P98-1088.4,LFG semantics
P98-1088.5,parsing 
P98-1088.6,categorial grammars
P98-1088.7,multiplicative linear logic 
P98-1088.8,CFG parsing
E06-1045.1,embodied conversational agent 
E06-1045.2,dialogue system
E06-1045.3,corpus of sentences 
E06-1045.4,target dialogue system
E06-1045.5,speaker
E06-1045.6,context
E06-1045.7,context
E06-1045.8,cross-validation 
E06-1045.9,corpus
E06-1045.10,cross-validation
E06-1045.11,cross-validation
P04-1030.1,head-driven statistical parsing model 
P04-1030.2,simultaneous language model
P04-1030.3,parser 
P04-1030.4,large-vocabulary speech recognition
P04-1030.5,online left to right chart-parser 
P04-1030.6,word lattices
P04-1030.7,parser
P04-1030.8,structural and lexical dependencies 
P04-1030.9,n-gram models
P04-1030.10,Wall Street Journal treebank 
P04-1030.11,word error rates
P04-1030.12,standard n-gram language model 
P04-1030.13,structural information
P04-1030.14,speech understanding
P02-1023.1,language model (LM) size
P02-1023.2,LM 
P02-1023.3,LM pruning
P02-1023.4, rank
P02-1023.5,entropy
P02-1023.6,pruning criteria 
P02-1023.7,Chinese text input
P02-1023.8,character error rate (CER)
P02-1023.9,rank
P02-1023.10,rank
P02-1023.11,error rate
P02-1023.12,model pruning
P02-1023.13,CER
C00-1054.1,parsing
C00-1054.2,utterances 
C00-1054.3,multimodal integration
C00-1054.4,unification-based grammar 
C00-1054.5,multidimensional chart parser
C00-1054.6,interfaces
C00-1054.7,multimodal parsing and understanding 
C00-1054.8,weighted finite-state device
C00-1054.9,speech and gesture streams 
C00-1054.10,speech recognition
C00-1054.11,multimodal ambiguity resolution
N06-1037.1,convolution kernel
N06-1037.2,parse trees 
N06-1037.3,syntactic structure information
N06-1037.4, relation extraction
N06-1037.5,syntactic structure features 
N06-1037.6,parse tree
N06-1037.7,relation extraction 
N06-1037.8,convolution tree kernel
N06-1037.9,ACE 2003 corpus
N06-1037.10,convolution kernel 
N06-1037.11,parse trees
N06-1037.12,ACE relation subtypes
N06-1037.13,dependency tree kernels 
N06-1037.14,ACE relation major types
H90-1011.1,parsing
H90-1011.2,unification-based parsing
H90-1011.3, classification-based knowledge representation
H90-1011.4,unification-based grammatical frameworks 
H90-1011.5,linguistic information
H90-1011.6,KL-ONE-like knowledge representation systems
H90-1011.7,classification-based representation techniques 
H90-1011.8,unification-based linguistic descriptions
H90-1011.9,semantic and syntactic information
H90-1011.10,efficient parsing
H90-1011.11,KL-ONE style representation
H90-1011.12,parsing 
H90-1011.13,semantic interpretation
H90-1011.14,PSI-KLONE system 
H90-1011.15,parsing
H90-1011.16,incremental description refinement
J97-1004.1,explanation system
J97-1004.2,domain knowledge
J97-1004.3,multisentential discourse plans
J97-1004.4,discourse plans 
J97-1004.5,explanation
J97-1004.6,explanation generation 
J97-1004.7,semantically rich, large-scale knowledge bases
J97-1004.8,robust explanation system
J97-1004.9,multisentential and multi-paragraph explanations 
J97-1004.10,large-scale knowledge base
P04-2005.1,English topic signatures
P04-2005.2,concept
P04-2005.3,word sense
P04-2005.4,topic signature
P04-2005.5,words 
P04-2005.6,Topic signatures
P04-2005.7,Natural Language Processing (NLP) applications
P04-2005.8,Word Sense Disambiguation (WSD) 
P04-2005.9,Text Summarisation
P04-2005.10,word senses
P04-2005.11, English 
P04-2005.12,Chinese
P04-2005.13,Chinese text 
P04-2005.14,corpora
P04-2005.15,topic signatures 
P04-2005.16,WSD task
P04-2005.17, second-order vector cooccurrence algorithm 
